# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.5  0.2949  11.2466  56.0125
218.0  1.5  0.2949  11.6501  54.7137
218.0  1.5  0.2949  12.0680  52.7067
218.0  1.5  0.2949  12.5009  53.0296
218.0  1.5  0.2949  12.9494  51.2467
218.0  1.5  0.2949  13.4139  49.7633
218.0  1.5  0.2949  13.8951  47.5966
218.0  1.5  0.2949  14.3936  47.6029
218.0  1.5  0.2949  14.9099  45.4820
218.0  1.5  0.2949  15.4448  45.4723
218.0  1.5  0.2949  15.9988  45.4693
218.0  1.5  0.2949  16.5728  43.8068
218.0  1.5  0.2949  17.1673  43.8099
218.0  1.5  0.2949  17.7831  42.9942
218.0  1.5  0.2949  18.4211  43.0503
218.0  1.5  0.2949  19.0819  40.1768
218.0  1.5  0.2949  19.7664  40.1485
218.0  1.5  0.2949  20.4755  40.1348
218.0  1.5  0.2949  21.2100  40.1349
218.0  1.5  0.2949  21.9709  37.7306
218.0  1.5  0.2949  22.7591  37.7402
218.0  1.5  0.2949  23.5755  37.7624
218.0  1.5  0.2949  24.4212  37.7961
218.0  1.5  0.2949  25.2973  37.8402
218.0  1.5  0.2949  26.2048  37.3614
218.0  1.5  0.2949  27.1448  37.3889
218.0  1.5  0.2949  28.1186  37.0965
218.0  1.5  0.2949  29.1273  37.1727
218.0  1.5  0.2949  30.1722  37.2548
218.0  1.5  0.2949  31.2546  37.3420
218.0  1.5  0.2949  32.3758  37.4063
218.0  1.5  0.2949  33.5372  37.5144
218.0  1.5  0.2949  34.7403  37.6026
218.0  1.5  0.2949  35.9865  37.6736
218.0  1.5  0.2949  37.2775  37.6883
218.0  1.5  0.2949  38.6148  37.7950
218.0  1.5  0.2949  40.0000  37.9021
218.0  1.5  0.3068  5.0000  100000.0000
218.0  1.5  0.3068  5.1794  121.3459
218.0  1.5  0.3068  5.3652  106.6379
218.0  1.5  0.3068  5.5576  93.3819
218.0  1.5  0.3068  5.7570  93.6793
218.0  1.5  0.3068  5.9635  85.3887
218.0  1.5  0.3068  6.1775  84.2339
218.0  1.5  0.3068  6.3991  81.1878
218.0  1.5  0.3068  6.6286  81.7082
218.0  1.5  0.3068  6.8664  80.2384
218.0  1.5  0.3068  7.1127  79.5935
218.0  1.5  0.3068  7.3679  78.2009
218.0  1.5  0.3068  7.6322  76.4199
218.0  1.5  0.3068  7.9060  73.2404
218.0  1.5  0.3068  8.1896  70.5698
218.0  1.5  0.3068  8.4834  69.9818
218.0  1.5  0.3068  8.7877  67.1025
218.0  1.5  0.3068  9.1030  65.0606
218.0  1.5  0.3068  9.4295  62.3146
218.0  1.5  0.3068  9.7678  62.5976
218.0  1.5  0.3068  10.1182  60.3583
218.0  1.5  0.3068  10.4811  57.7831
218.0  1.5  0.3068  10.8571  55.7922
218.0  1.5  0.3068  11.2466  54.5048
218.0  1.5  0.3068  11.6501  53.9083
218.0  1.5  0.3068  12.0680  54.3732
218.0  1.5  0.3068  12.5009  50.4284
218.0  1.5  0.3068  12.9494  48.8555
218.0  1.5  0.3068  13.4139  48.7048
218.0  1.5  0.3068  13.8951  48.9463
218.0  1.5  0.3068  14.3936  47.0528
218.0  1.5  0.3068  14.9099  47.1941
218.0  1.5  0.3068  15.4448  45.8293
218.0  1.5  0.3068  15.9988  43.3137
218.0  1.5  0.3068  16.5728  43.3456
218.0  1.5  0.3068  17.1673  41.2762
218.0  1.5  0.3068  17.7831  41.3133
218.0  1.5  0.3068  18.4211  41.3629
218.0  1.5  0.3068  19.0819  41.4246
