# R0=8.178 kpc
# V0[km/s]  rho0[GeV/cm3]  Rc[kpc]  chi2
218.0  0.3186  28.9831  100000.0000
218.0  0.3186  29.4915  100000.0000
218.0  0.3186  30.0000  100000.0000
218.0  0.3305  0.0010  67.1885
218.0  0.3305  0.5095  63.4426
218.0  0.3305  1.0179  63.4293
218.0  0.3305  1.5264  61.7617
218.0  0.3305  2.0348  61.0610
218.0  0.3305  2.5433  60.9602
218.0  0.3305  3.0517  61.7236
218.0  0.3305  3.5602  60.8796
218.0  0.3305  4.0687  59.7440
218.0  0.3305  4.5771  62.7696
218.0  0.3305  5.0856  61.6408
218.0  0.3305  5.5940  62.0676
218.0  0.3305  6.1025  62.3476
218.0  0.3305  6.6109  61.8141
218.0  0.3305  7.1194  63.9797
218.0  0.3305  7.6279  65.9015
218.0  0.3305  8.1363  70.0091
218.0  0.3305  8.6448  72.1219
218.0  0.3305  9.1532  71.6079
218.0  0.3305  9.6617  79.8372
218.0  0.3305  10.1702  88.2043
218.0  0.3305  10.6786  94.5483
218.0  0.3305  11.1871  107.3649
218.0  0.3305  11.6955  119.4250
218.0  0.3305  12.2040  134.9089
218.0  0.3305  12.7124  143.9604
218.0  0.3305  13.2209  158.6686
218.0  0.3305  13.7294  184.2931
218.0  0.3305  14.2378  100000.0000
218.0  0.3305  14.7463  100000.0000
218.0  0.3305  15.2547  100000.0000
218.0  0.3305  15.7632  100000.0000
218.0  0.3305  16.2716  100000.0000
218.0  0.3305  16.7801  100000.0000
218.0  0.3305  17.2886  100000.0000
